age,experience_years,education_level,technical_skill_score,communication_score,certifications_count,avg_daily_focus_hours,remote_work_ratio,sleep_hours,stress_level,project_complexity,team_size,manager_rating,productivity_score
27,18,4,99,79,6,5.22,0.41,8.34,1,5,2,3,100.0
40,6,5,96,46,6,5.0,0.07,8.52,3,5,8,4,76.01874766867991
49,5,4,70,69,5,3.64,0.58,4.0,2,3,2,3,70.44686146000899
35,1,5,59,46,3,5.2,0.85,6.97,9,4,10,3,35.7853827691176
31,5,3,63,42,8,3.3,0.73,7.6,3,4,4,4,65.26717694359046
28,17,1,64,40,5,8.47,0.36,7.09,2,3,13,2,84.26591343564233
49,1,3,75,75,3,5.79,0.09,4.41,4,4,4,5,67.4620231170973
41,17,3,60,64,2,6.11,0.2,5.09,2,3,7,1,79.61276704642837
27,14,2,69,76,3,9.26,0.55,5.25,1,1,11,5,100.0
46,18,2,63,40,2,7.61,0.21,8.16,6,5,7,1,76.51606251792424
39,1,2,83,54,1,3.06,0.54,6.32,10,5,14,5,50.10822784637158
43,19,2,81,76,4,9.6,0.23,6.43,8,4,12,3,100.0
31,24,5,69,52,1,4.66,0.85,8.67,10,2,12,2,84.8487450273922
31,5,4,61,79,5,3.75,0.4,7.19,10,5,7,3,50.91238517308402
44,0,1,67,47,2,8.38,0.25,8.49,2,3,14,2,60.3722572482311
41,23,3,46,44,5,6.5,0.81,6.28,9,2,2,4,81.60284032212242
24,14,5,74,99,9,6.04,0.34,4.75,3,2,6,1,95.98024524964006
28,22,1,94,48,8,4.75,0.11,8.65,8,5,13,1,91.09334883322933
44,9,5,67,40,0,6.83,0.57,6.29,8,5,7,4,61.74702390600434
23,18,5,53,75,5,4.92,0.58,4.91,3,5,9,5,100.0
42,16,3,95,74,8,9.31,0.71,5.51,3,3,14,4,100.0
41,4,4,49,41,3,4.51,0.24,4.25,6,2,2,4,52.96635807703849
22,3,2,55,79,1,9.19,0.44,6.34,1,4,6,2,62.04479498003694
44,9,4,55,62,3,6.92,0.28,8.27,4,3,4,4,74.6015020508047
32,23,3,93,48,0,8.8,0.08,8.67,1,1,3,1,100.0
26,16,3,70,73,2,7.99,0.88,8.66,3,5,12,3,97.38285457024475
22,9,3,81,85,9,7.88,0.73,4.63,9,2,9,2,87.16476694200172
48,16,1,64,53,8,5.27,0.3,5.91,5,3,8,2,83.71165293855819
41,19,4,52,43,9,4.64,0.6,4.14,5,1,11,5,87.35981239389646
21,23,4,45,69,4,4.48,0.2,8.28,4,3,8,3,94.46416866496027
32,4,5,83,70,5,9.0,0.89,5.79,3,3,6,2,77.56161761480607
46,1,5,48,77,2,8.74,0.11,7.16,5,4,13,4,67.9790294580955
42,5,5,84,50,4,6.08,0.0,7.57,4,4,14,2,69.20746772170185
49,20,3,75,74,7,3.93,0.5,6.15,8,3,10,2,82.39988546547171
32,1,4,95,47,5,5.68,0.58,5.53,4,1,6,2,65.85087119495293
45,12,3,82,42,3,7.34,0.58,8.81,8,2,3,5,87.52955303080202
37,10,1,59,53,1,6.18,0.05,8.82,6,2,4,2,63.98591789808463
47,10,5,57,99,8,8.46,0.31,5.45,5,5,5,2,86.77790537372799
47,15,3,97,52,0,9.98,0.5,6.4,4,5,6,5,100.0
30,10,3,82,84,0,4.34,0.22,8.86,4,2,14,3,82.92742907786999
48,18,1,96,71,3,6.22,0.87,4.02,4,3,4,1,90.90309833386732
48,14,2,60,73,6,6.02,0.09,6.06,9,3,13,5,80.6309518837144
36,24,4,43,84,0,5.13,0.49,4.5,4,4,8,5,100.0
35,22,2,89,58,8,4.39,0.69,6.55,9,4,6,2,82.0531895268442
35,22,5,72,98,3,3.46,0.26,4.12,10,5,6,2,83.85011930281435
39,15,3,66,77,2,9.21,0.62,6.03,6,2,7,1,87.21469484271024
32,10,1,46,55,0,5.94,0.83,5.1,10,3,8,2,34.39248738193888
